state,district,block,village_name,other_areas,constituency,longitude,latitude
Andhra Pradesh,Hyderabad,Gachibowli (Rangareddy),NA,Cyberabad,Serilingampally,17.4325,78.37180555555555
Andhra Pradesh,Nizamabad,NA,Kamareddy,NA,Kamareddy,18.320888888888888,78.33713888888889
Andhra Pradesh,Khammam,NA,Bhadrachalam,NA,Bhadrachalam,17.668055555555558,80.89686111111112
Andhra Pradesh,Vishakhapatnam,NA,NA,Visakha Agency,Rayadurg,17.708777777777776,83.30283333333333
Andhra Pradesh,Visakhapatnam,GK Veedhi,Teegalabanda,Pedalavasa,Rayadurg,17.861861111111114,82.19688888888889
Andhra Pradesh,Khammam,NA,Lachagudem,NA,Aswaraopeta,17.15461111111111,80.21402777777779
Andhra Pradesh,East Godavari,Kakinada,NA,Kakinada,Hindupur,16.98825,82.24861111111112
Andhra Pradesh,Visakhapatnam,Koyyuru,NA,NA,Paderu,17.655777777777775,82.21697222222222
Andhra Pradesh,Vizianagaram,NA,Parvathipuram,NA,Parvathipuram,18.775694444444444,83.4256388888889
Andhra Pradesh,Visakhapatnam,Chintapalli,Lothugedda,NA,Paderu,18.30405555555556,83.13149999999999
Andhra Pradesh,Khammam,NA,Parnashala,Dummugudem mandal,Bhadrachalam,17.92452777777778,80.90188888888889
Andhra Pradesh,Vizianagaram,Makkuva,Anasabhadra,Makkuva mandal,Salur,18.71825,83.28383333333333
Andhra Pradesh,Khammam,Tekulapally,Bodu,NA,Yellandu,17.67713888888889,80.44033333333334
Andhra Pradesh,Nalgonda,Chandampet,Kambalapally,NA,Devarakonda,17.96925,78.42341666666667
Andhra Pradesh,Khammam,Cherla,Puligundala,NA,Bhadrachalam,17.967027777777776,80.96575
Andhra Pradesh,Khammam,Dummugudem,Kothapalli,NA,Bhadrachalam,16.97336111111111,78.6795
Andhra Pradesh,Khammam,NA,the forest area between Cherla and Kitaram villages,NA,Bhadrachalam,18.07855555555556,80.82863888888889
Andhra Pradesh,Guntur,Nekarikallu,Gundallupalli,NA,Sattenapalle,16.41047222222222,79.88138888888888
Andhra Pradesh,Khammam,Wazeed,Murmur,Wajeedu,Bhadrachalam,18.825055555555554,79.3788611111111
Andhra Pradesh,Nalgonda,Gurrampodu,Yelamanagudem,NA,Nagarjuna Sagar,16.868222222222222,79.11508333333333
Andhra Pradesh,Visakhapatnam,G.K. Veedhi,Cheedigunta,NA,Rayadurg,17.952694444444443,82.04338888888888
Andhra Pradesh,Hyderabad,Shankarpalle,Ramanthapur,NA,Chevella,17.385305555555554,78.52872222222223
Andhra Pradesh,Visakhapatnam,Chintapalli,NA,Chintapalli mandal,Paderu,16.91397222222222,82.08844444444443
Andhra Pradesh,Warangal,NA,Govindraopet,NA,Mulug,18.198555555555554,80.12905555555555
Andhra Pradesh,Prakasam,NA,Mullampalli,Pullalacheruvu,Yerragondapalem,15.635583333333331,80.01811111111111
Andhra Pradesh,Khammam,Dummugudem,near Kommanapalli village,Dummugudem mandal,Bhadrachalam,17.85263888888889,80.88636111111111
Andhra Pradesh,Karimnagar,Gambhiraopet,Srigadha,NA,Sircilla,18.236222222222224,78.56808333333333
Andhra Pradesh,Khammam,NA,NA,Bhadrachalam,Bhadrachalam,17.668055555555558,80.89686111111112
Andhra Pradesh,Adilabad,Mandamarri,Mamidigattu forests,Ramakrishnapur Police Station,Chennur,18.987,79.47813888888889
Andhra Pradesh,Khammam,Vararamachandrapuram,Buruguvada,Vararamachandrapuram,Bhadrachalam,17.567,81.36908333333332
Andhra Pradesh,Khammam,Tekulapally,Sampathnagar,NA,Yellandu,17.662555555555553,80.53738888888888
Andhra Pradesh,Khammam,NA,NA,Ngarajunasagar Project Guest house,Madhira,16.570555555555554,79.3145
Andhra Pradesh,Visakhapatnam,G. Madugula,Gurramveedhi,G. Madugula mandal,Paderu,16.127583333333334,80.79627777777777
Andhra Pradesh,Visakhapatnam,G. Madugula,NA,G. Madugula mandal,Paderu,18.013694444444443,82.53197222222222
Andhra Pradesh,Anantapur,Garladinne,Mukundapuram,Garladinne,Singanamala,15.162333333333336,78.61355555555555
Andhra Pradesh,Anantapur,Kudair,Kalagalla,Kuderu,Uravakonda,14.814055555555557,77.4173888888889
Andhra Pradesh,Visakhapatnam,NA,Pulumamidi,NA,NA,17.063833333333335,78.41747222222223
Andhra Pradesh,Khammam,NA,NA,Yellandu,Yellandu,17.593999999999998,80.32086111111111
Andhra Pradesh,Khammam,Cherla,Kaliveru,NA,Bhadrachalam,18.02836111111111,80.8503611111111
Andhra Pradesh,Anantapur,Vajrakarur,Jarutla Rampuram,NA,Uravakonda,14.89175,77.36644444444444
Andhra Pradesh,Guntur,Machavaram,Morjampadu,Machavaram,Gurajala,16.59125,79.90691666666667
Andhra Pradesh,Adilabad,Kagaznagar,Ankoda,NA,Sirpur,19.406055555555557,79.60127777777777
Andhra Pradesh,East Godavari,Rajavommangi,Rajavommangi,NA,Rampachodavaram,17.54763888888889,82.23130555555555
Andhra Pradesh,Nalgonda,Pedda Adiserla Pally,Peddagattu,NA,Devarakonda,16.69961111111111,79.02674999999999
Andhra Pradesh,Prakasam,"Santhanuthala padu, Podili, Zarugumilli",Laxmipuram,NA,Santhanuthalapadu,18.37788888888889,84.08516666666667
Andhra Pradesh,Khammam,Gundala,NA,Allapalli Singaram forest,Pinapaka,17.829305555555557,80.47897222222223
Andhra Pradesh,Nalgonda,NA,Devarakonda,NA,Devarakonda,16.688194444444445,78.92008333333334
Andhra Pradesh,Anantapur,Raptadu,Bandameedapalli,Rapthadu,Raptadu,14.283194444444446,77.00538888888889
Andhra Pradesh,Adilabad,Utnoor,Gangapur forest,NA,Khanapur,19.268833333333333,79.43455555555556
Andhra Pradesh,Karimnagar,NA,Boragunda,NA,Myudur,18.54341666666667,83.27091666666666
Andhra Pradesh,Guntur,Bollapalle,Gummanampadu,NA,Vinukonda,16.322027777777777,79.67108333333334
Andhra Pradesh,Visakhapatnam,Koyyuru,NA,NA,Paderu,17.65447222222222,82.21638888888889
Andhra Pradesh,Adilabad,Bejjur,Murliguda,NA,Sirpur,19.24227777777778,79.91122222222222
Andhra Pradesh,Visakhapatnam,GK Veedhi,Chapagedda,NA,Paderu,17.868750000000002,82.22405555555555
Andhra Pradesh,Kurnool,NA,NA,NA,NA,NA,NA
Andhra Pradesh,Karimnagar,Kamanpur,Begumpet,NA,Manthani,17.45311111111111,78.46683333333334
Andhra Pradesh,Guntur,Bollapalli,Bollapali,NA,Vinukonda,15.87977777777778,80.08513888888888
Andhra Pradesh,Khammam,Wazeed,Peruru,NA,Bhadrachalam,18.52797222222222,80.39541666666668
Andhra Pradesh,Guntur,Tenali,Tenali,NA,Tenali,16.260583333333333,80.63608333333335
Andhra Pradesh,Visakhapatnam,Koyyrru,NA,Kannvaram,Paderu,17.65586111111111,82.21705555555556
Andhra Pradesh,Khammam,Dummugudem,Pedaarlagudem,NA,Bhadrachalam,17.84986111111111,80.88516666666668
Andhra Pradesh,Visakhapatnam,G. Madugula,Bothili,G. Madugula mandal,Paderu,18.92155555555556,83.66466666666668
Andhra Pradesh,Visakhapatnam,NA,Kukumpudi,NA,Rayadurg,16.848277777777778,81.11088888888888
Andhra Pradesh,Karimnagar,NA,NA,Ramagundam,Ramagundam,18.766805555555557,79.44222222222223
Andhra Pradesh,Khammam,Khammam,NA,Gathumalla,Madhira,17.548361111111113,80.60833333333333
Andhra Pradesh,Mahabubnagar,NA,NA,Nallamala,Achampet,16.013555555555556,78.97166666666666
Andhra Pradesh,Nalgonda,Chandampet,Usmankunta,NA,Devarakonda,17.96925,78.42341666666667
Andhra Pradesh,Visakhapatnam,NA,Paderu Agency area,Agency area,Paderu,18.079166666666666,82.66680555555556
Andhra Pradesh,Khammam,NA,Kothagudem,NA,Khammam,16.788500000000003,81.2051388888889
Andhra Pradesh,Nizamabad,Sirkonda,Pothunur,Rekulapally,Nizamabad Rural,19.432972222222222,78.56455555555556
Andhra Pradesh,Prakasam,Racharla,Malakondapenta,NA,Giddalur,15.579583333333334,78.86602777777777
Andhra Pradesh,Guntur,Karempudi,Karempudi,NA,Macherla,16.429194444444445,79.71916666666667
Andhra Pradesh,Visakhapatnam,NA,NA,Koyyuru,Paderu,17.65513888888889,82.21738888888889
Andhra Pradesh,Guntur,Karempudi,Miryala,NA,Macherla,16.474833333333333,79.64425
Andhra Pradesh,Guntur,Pedakakani,Takkellapadu,NA,Ponnur,16.310305555555555,80.49061111111111
Andhra Pradesh,Guntur,Machavaram,Morjhampadu,Machavaram,Gurajala,16.591416666666664,79.90636111111111
Andhra Pradesh,Chittoor,Tirupati Rural,Jeevakona,NA,Tirupati,13.653805555555556,79.42786111111111
Andhra Pradesh,Khammam,NA,NA,Yellandu,Yellandu,17.59594444444444,80.31691666666666
Andhra Pradesh,Khammam,Venkatapuram,NA,Venkatapuram,Bhadrachalam,18.30380555555556,80.55033333333333
Andhra Pradesh,Karimnagar,Vemulawada,Marupaka,NA,Vemulawada,18.455166666666667,78.82505555555555
Andhra Pradesh,Khammam,Pinapaka/Ramadugu,Gopalraopet,Pinapaka,Pinapaka,16.65825,80.59130555555555
Andhra Pradesh,Khammam,Cherla,Timmirigudem,NA,Bhadrachalam,18.09111111111111,80.83244444444443
Andhra Pradesh,Khammam,NA,Tippapuram,Cherla,Bhadrachalam,18.07275,80.82730555555555
Andhra Pradesh,Vizianagaram,Pachipenta,NA,Lovavalasa,Salur,18.47922222222222,83.11319444444445
Andhra Pradesh,Khammam,NA,Arlagudem,Dummugudem,Bhadrachalam,17.818833333333334,80.97338888888889
Andhra Pradesh,Hyderabad,Begumpet,NA,Begumpet,Kukatpalle,17.452277777777777,78.46297222222222
Andhra Pradesh,Prakasam,NA,Ongole,NA,Ongole,15.506833333333333,80.04844444444444
Andhra Pradesh,Guntur,Bollapalle,Lalipuram,NA,Vinukonda,16.184944444444444,79.68102777777779
Andhra Pradesh,Khammam,NA,NA,Yellandu,Yellandu,17.59594444444444,80.31691666666666
Andhra Pradesh,Visakhapatnam,G.K. Veedhi,R.V. Nagaram,Vishakha Agency,Rayadurg,17.861666666666668,82.19575
Andhra Pradesh,East Godavari,Kakinada,Kakinada,NA,Hindupur,16.98825,82.24861111111112
Andhra Pradesh,Visakhapatnam,GK Veedhi,Modingedda,NA,Rayadurg,17.86266666666667,82.19616666666667
Andhra Pradesh,Visakhapatnam,GK Veedhi,Lankapaakala,NA,Paderu,17.86266666666667,82.19616666666667
Andhra Pradesh,Prakasam,Ardhaveedhu,Papinenipally,NA,Giddalur,15.679944444444445,78.93391666666668
Andhra Pradesh,East Godavari,Addateegala,Konalova,NA,Rampachodavaram,17.41236111111111,82.1098611111111
Andhra Pradesh,Visakhapatnam,GK Veedhi,NA,Lakkavaram forest area,Rayadurg,17.052333333333333,81.30994444444444
Andhra Pradesh,Khammam,Gundala,Sayannapalli,NA,Pinapaka,16.396277777777776,80.14916666666667
Andhra Pradesh,Vishakhapatnam,Koyyuru,NA,Koyyuru Mandal,Paderu,17.65447222222222,82.21872222222223
Andhra Pradesh,Guntur,Karempudi,NA,"Reddypalem, Karempudi Police Station",Macherla,16.298944444444444,79.92888888888889
Andhra Pradesh,Visakhapatnam,Pedabayalu,NA,Pedabayalu,Araku Valley,18.28536111111111,82.58708333333333
Andhra Pradesh,Khammam,Chintur,Gangannametta,NA,Rampachodavaram,17.774638888888887,81.32974999999999
Andhra Pradesh,Khammam,Chintur,Chatti,NA,Rampachodavaram,17.75488888888889,81.3718611111111
Andhra Pradesh,Khammam,Cherla,Voddipeta,NA,Bhadrachalam,18.07275,80.82730555555555
Andhra Pradesh,Khammam,Chintur,Surakonda,NA,Rampachodavaram,17.74363888888889,81.39816666666667
Andhra Pradesh,Visakhapatnam,Pedabayalu,NA,Pedabayalu,Araku Valley,18.28536111111111,82.58708333333333
Andhra Pradesh,Visakhapatnam,Chintapalli,NA,NA,Paderu,16.914194444444444,82.08805555555556
Andhra Pradesh,Mahabubnagar,Amrabad/Uppununthala,B.K. Uppanuntala,NA,Achampet,16.33572222222222,78.91169444444445
Andhra Pradesh,Karimnagar,Kamalapur,Gopalpur,NA,Huzurabad,17.671861111111113,78.75416666666666
Andhra Pradesh,Adilabad,Bheemini,Babapur,NA,Bellampalle,19.50177777777778,79.79286111111111
Andhra Pradesh,Srikakulam,Bhamini/Meliaputti,Baleru,NA,Pulivendla,13.652722222222222,78.94380555555556
Andhra Pradesh,Kurnool,Pamulapadu,Vempenta,NA,Nandikotkur,17.07363888888889,79.54816666666666
Andhra Pradesh,Khammam,Cherla,Pusuguppa,NA,Bhadrachalam,18.07105555555556,80.82352777777777
Andhra Pradesh,Visakhapatnam,GK Veedhi,NA,NA,Paderu,17.86266666666667,82.19616666666667
Andhra Pradesh,Kurnool,Kalva Srirampur,NA,Kalva Srirampur,Peddapalle,18.487361111111117,79.53366666666666
Andhra Pradesh,East Godavari,Y. Ramavaram,Marriguda,Thangalkota,Rampachodavaram,18.915305555555555,83.54294444444444
Andhra Pradesh,West Godavari,Buttayigudem,NA,"Upparella, Buttayigudem Police",Polavaram,17.202111111111112,81.31972222222223
Andhra Pradesh,Warangal,Regonda,Sultanpur,NA,Bhupalpalle,17.55452777777778,78.30869444444444
Andhra Pradesh,Karimnagar,NA,Sircilla,NA,Sircilla,18.275416666666665,78.80983333333333
Andhra Pradesh,Mahabubnagar,Pedda Kothapally,Marikal,NA,Kollapur,16.603222222222225,77.72866666666667
Andhra Pradesh,Guntur,NA,NA,Palnadu,Gurajala,16.337833333333332,79.79555555555555
Andhra Pradesh,Guntur,Thullur,NA,Thullur,Tadikoda,16.525222222222222,80.46772222222222
Andhra Pradesh,Visakhapatnam,GK Veedhi,NA,Vishakha Agency,Paderu,17.863166666666668,82.19622222222223
Andhra Pradesh,Chittoor,Yerravaripalem,Dunnevaripalle,NA,Chandragiri,13.692305555555556,79.12613888888889
Andhra Pradesh,Vishakhapatnam,GK Veedhi,NA,Veedhi,Paderu,17.861777777777778,82.19641666666666
Andhra Pradesh,Nizamabad,Kamarpally,NA,Manala forests,Balkonda,18.83569444444444,78.50966666666666
Andhra Pradesh,Visakhapatnam,Gudem Kotha Veedhi,NA,Sileru Police station,Rayadurg,18.05213888888889,82.035
Andhra Pradesh,Khammam,Chintur,Mallampeta,NA,Rampachodavaram,17.555194444444446,78.33911111111111
Andhra Pradesh,Visakhapatnam,G.K. Veedhi,Siribala,NA,Rayadurg,17.925305555555557,82.22927777777778
Andhra Pradesh,Mahabubnagar,Balmoor,NA,Kondanagul Government Junior College,Achampet,16.336027777777776,78.59736111111111
Andhra Pradesh,Karimnagar,Mutharam,Singaram,NA,Manthani,18.339694444444444,78.64572222222223
Andhra Pradesh,Mahabubnagar,NA,NA,Nallamala forests,Achampet,16.01336111111111,78.97161111111112
Andhra Pradesh,Nalgonda,Kethe Pally,Vadderagudem,NA,Nakrekal,17.16122222222222,79.50658333333334
Andhra Pradesh,Khammam,Chintur,Tummala,NA,Rampachodavaram,17.789472222222223,80.80752777777778
Andhra Pradesh,Guntur,Chilakaluripet,Chilakaluripet,NA,Chilakaluripet,16.09488888888889,80.16519444444445
Andhra Pradesh,Mahabubnagar,Devarkadra,Ajilapur,NA,Devarkadra,16.983583333333335,78.8038611111111
Andhra Pradesh,Anantapur,Bukkapatnam,Bukkapatnam,Bukkapatnam forest,Puttaparthi,14.19963888888889,77.80119444444445
Andhra Pradesh,Vizianagaram,Gummalakshmipuram,NA,Kedaripuram,Kurupam,18.97738888888889,83.66583333333334
Andhra Pradesh,Vizianagaram,Jiyyammavalasa/Kurupam,Chaparaiguda,NA,Kurupam,18.791,83.60213888888889
Andhra Pradesh,Visakhapatnam,GK Veedhi,NA,NA,Paderu,17.863166666666668,82.19622222222223
Andhra Pradesh,Khammam,Velerpadu,Rallapudi,NA,Aswaraopeta,17.47872222222222,81.21277777777777
Andhra Pradesh,Karimnagar,Mutharam,Peddavagu,Nimmagudem,Manthani,18.606972222222225,80.06786111111111
Andhra Pradesh,Prakasam,Pullalacheruvu,NA,Nettikonda,Yerragondapalem,16.15747222222222,79.4311388888889
Andhra Pradesh,Warangal,Tadvai,NA,Bandala Kodishala,Mulug,18.1065,80.27069444444444
Andhra Pradesh,Visakhapatnam,GK Veedhi,G Addaraveedhi,NA,Rayadurg,17.86266666666667,82.19616666666667
Andhra Pradesh,Warangal,Kothaguda,NA,Eturunagaram,Mulug,18.33463888888889,80.43047222222222
Andhra Pradesh,West Godavari,Tanuku,NA,Paidiparru,Tanuku,16.749916666666667,81.68211111111111
Andhra Pradesh,Warangal,Gudur,NA,NA,Gudur,17.798083333333334,79.97836111111111
Andhra Pradesh,Nalgonda,Choutuppal,Dandu Malkapur,NA,Munugode,17.25513888888889,78.89222222222223
Andhra Pradesh,Nizamabad,Sirkonda,Pandimadugu,NA,Nizamabad Rural,19.432972222222222,78.56455555555556
Andhra Pradesh,99,NA,NA,NA,NA,NA,NA
Andhra Pradesh,Karimnagar,Peddapali,Kanagarthi,NA,Peddapalle,18.445083333333333,79.40152777777779
Andhra Pradesh,Visakhapatnam,Chintapalle,Balapam,NA,Paderu,18.03005555555556,82.34252777777778
Andhra Pradesh,Khammam,Chintur,NA,Tatilanka reserve,Rampachodavaram,17.673472222222223,81.17208333333333
Andhra Pradesh,Khammam,NA,Allubaka,Thippapuram forest,Bhadrachalam,18.26075,80.71847222222222
Andhra Pradesh,Visakhapatnam,G. Madugula,G. Madugula,NA,Paderu,18.01136111111111,82.53216666666667
Andhra Pradesh,Anantapur,Vajrakarur,Jarutla Rampuram,NA,Uravakonda,14.89175,77.36644444444444
Andhra Pradesh,Medak,Doulatabad,Indupriyal,NA,Dubbak,17.92516666666667,78.56530555555555
Andhra Pradesh,East Godavari,Y Ramavaram,Singanakota,NA,Rampachodavaram,17.92488888888889,81.9658888888889
Andhra Pradesh,Mahabubnagar,Balanagar,NA,Balanagar Police station,Kukatpalle,16.950888888888887,78.18055555555556
Andhra Pradesh,Karimnagar,NA,NA,Sircilla,Sircilla,18.388277777777777,78.80083333333333
Andhra Pradesh,Khammam,NA,NA,Venkatapuram Police Station,Bhadrachalam,18.302833333333336,80.55213888888889
Andhra Pradesh,Guntur,Ipur,Kondramutla,NA,Vinukonda,16.116305555555556,79.75294444444444
Andhra Pradesh,Prakasam,Dornala,Pedda Bommalapuram,NA,Yerragondapalem,15.973444444444445,79.10199999999999
Andhra Pradesh,Khammam,NA,NA,Venkatapuram,Bhadrachalam,18.302833333333336,80.55213888888889
Andhra Pradesh,Visakhapatnam,Narsipatnam,Narsipatnam,NA,Narsipatnam,17.668166666666668,82.61397222222222
Andhra Pradesh,Guntur,Macherla,NA,Nagarjunasagar reservoir,Macherla,16.499555555555556,79.25316666666667
Andhra Pradesh,Khammam,Cherla,NA,NA,Bhadrachalam,18.08783333333333,80.83483333333332
Andhra Pradesh,Visakhapatnam,GK Veedhi,NA,NA,Paderu,17.86266666666667,82.19616666666667
Andhra Pradesh,Visakhapatnam,Chintapalli,NA,Lothugedda,Paderu,18.300472222222226,83.15761111111112
Andhra Pradesh,Karimnagar,Konaraopeta,Konaraopeta,NA,Vemulawada,18.789444444444445,78.66116666666667
Andhra Pradesh,Nalgonda,Narayanpur,Sarvail,NA,Munugode,17.25513888888889,78.89222222222223
Andhra Pradesh,Vizianagaram,NA,Kurukutti,NA,Alur,18.592961,83.086889
Andhra Pradesh,Visakhapatnam,Gudem Kotha Veedhi,Nelajartha,NA,Rayadurg,17.85452777777778,82.16391666666667
Andhra Pradesh,Karimnagar,Bheemdevarapalli,Manikyapur,NA,Husnabad,18.143416666666667,79.37688888888889
Andhra Pradesh,Khammam,Wyra,Wyra town,NA,Wyra,17.19211111111111,80.35716666666666
Andhra Pradesh,Nalgonda,Turkapally,Venkatapuram,NA,Nagarjuna Sagar,17.673333333333336,78.60297222222222
Andhra Pradesh,Vizianagaram,Komarada,NA,Gumada,Kurupam,18.87863888888889,83.47080555555556
Andhra Pradesh,Nalgonda,Valigonda,Gokaram,NA,Bhongir,17.376555555555555,79.01383333333334
Andhra Pradesh,Visakhapatnam,GK Veedhi,NA,NA,Paderu,17.86266666666667,82.19616666666667
Andhra Pradesh,Khammam,NA,Wyra,NA,Wyra,17.19211111111111,80.35716666666666
Andhra Pradesh,Nalgonda,Nuthankal,Nuthankal,Mukundapur,Thungathurthi,17.328944444444446,79.69608333333333
Andhra Pradesh,Visakhapatnam,GK Veedhi,NA,NA,Paderu,17.863166666666668,82.19622222222223
Andhra Pradesh,Warangal,Geesugonda,Elukurthy,NA,Parkal,17.994055555555555,79.74455555555555
Andhra Pradesh,Vishakhapatnam,G. Madugula,NA,G. Madugula,Paderu,18.013222222222222,82.53166666666667
Andhra Pradesh,Mahabubnagar,NA,Achampet,NA,Achampet,16.40083333333333,78.63572222222223
Andhra Pradesh,Warangal,Eturunagaram,Eturunagaram,NA,Mulug,18.34211111111111,80.4316388888889
Andhra Pradesh,Nalgonda,Alair,NA,Tangutur,Alair,17.636416666666666,79.03647222222222
Andhra Pradesh,Nalgonda,Munugode,Palivela,NA,Munugode,17.073694444444445,79.08113888888889
Andhra Pradesh,Mahabubnagar,Achampet,NA,NA,Achampet,16.40083333333333,78.63572222222223
Andhra Pradesh,Guntur,Karampudi,Karampudi,Gurazala,Macherla,16.43013888888889,79.71988888888889
Andhra Pradesh,Visakhapatnam,Pedbayulu,Paridhi,Pedabayalu,Araku Valley,18.285611111111116,82.58844444444443
Andhra Pradesh,Medak,Mirdoddi,Mallupalle,NA,Dubbak,18.058972222222224,78.62977777777778
Andhra Pradesh,Adilabad,Utnoor,Gangannapet,"Gadchiroli District MH, Kadem Mandal",Khanapur,19.370166666666663,78.78111111111112
Andhra Pradesh,Khammam,Palwancha,Palvancha,NA,Kothagudem,17.601222222222223,80.68613888888889
Andhra Pradesh,Visakhapatnam,Pedbayulu,NA,Rudakota,Araku Valley,18.282944444444443,82.46875
Andhra Pradesh,Mahabubnagar,Balmoor,Banal,NA,Achampet,16.329194444444443,78.62827777777777
Andhra Pradesh,Warangal,Tadvai,NA,Katapur forest,Mulug,18.163305555555556,80.39886111111112
Andhra Pradesh,Khammam,Palvancha,Thummalaguem,NA,Kothagudem,17.334444444444443,79.05172222222222
Andhra Pradesh,Karimnagar,Mutharam,Nimmagudem,NA,Manthani,18.58811111111111,80.08088888888888
Andhra Pradesh,Warangal,Dharamsagar/Govindaraopet/Eturnagaram,Kanthapalli,Rampur,Ghanpur (Station),17.087,82.31661111111111
Andhra Pradesh,Prakasam,Marripudi,Kakarla,NA,Kondapi,17.394194444444445,80.55305555555556
Andhra Pradesh,Khammam,Bhadrachalam mandal,Gannavaram,NA,Bhadrachalam,17.078916666666668,80.3693611111111
Andhra Pradesh,Visakhapatnam,GK Veedhi,NA,Veedhi,Paderu,17.861777777777778,82.19641666666666
Andhra Pradesh,Anantapur,Tadimarri,Narsimpalli,NA,Dharmavaram,14.17911111111111,77.8936388888889
Andhra Pradesh,Warangal,Parkal,Kantathmakur,NA,Parkal,18.15983333333333,79.61341666666667
Andhra Pradesh,Karimnagar,Mutharam,Borlagudem,NA,Manthani,18.48427777777778,80.11552777777777
Andhra Pradesh,Hyderabad,Venkateshwara,NA,Punjagutta Police limits,Sanathnagar,17.428722222222223,78.44997222222223
Andhra Pradesh,Visakhapatnam,NA,Paderu,NA,Paderu,18.079166666666666,82.66680555555556
Andhra Pradesh,Khammam,Dummugudem,Bandirevu,NA,Bhadrachalam,17.7275,81.10461111111111
Andhra Pradesh,Nizamabad,Yeddapalle,Kurnapalli,NA,Bodhan,18.63722222222222,77.9915
Andhra Pradesh,East Godavari,Chintur,Chatti,NA,Rampachodavaram,17.75475,81.37241666666667
Andhra Pradesh,Khammam,Cherla,Satyanarayanapuram,Kaliveru,Bhadrachalam,18.01675,80.86719444444444
Andhra Pradesh,Khammam,Charla,Pedamidisileru,NA,Bhadrachalam,18.08913888888889,80.88794444444446
Andhra Pradesh,Anantapur,Pedapappur,Peddakondapuram,NA,Tadipatri,14.930694444444445,77.86405555555555
Andhra Pradesh,Karimnagar,Sircilla,NA,Sircilla,Sircilla,18.388277777777777,78.80083333333333
Andhra Pradesh,Medak,Sangareddy,NA,NA,Sangareddy,17.609305555555558,78.07877777777777
Andhra Pradesh,Karimnagar,Mahadevpur,Neelampalli,Mahadevpur,Manthani,18.656972222222223,80.29277777777777
Andhra Pradesh,East Godavari,Yetapka,NA,Jaggaram,Bhadrachalam,17.694194444444445,80.90819444444445
Andhra Pradesh,Prakasam,Pullalacheruvu,Marrivemula,NA,Yerragondapalem,16.256777777777778,79.54997222222222
Andhra Pradesh,Warangal,Tadvai,NA,Katapur forest,Mulug,18.163305555555556,80.39886111111112
Andhra Pradesh,Guntur,Dachepalle,Pedagarlapadu,Takkellapadu,Gurajala,16.527444444444445,79.75063888888889
Andhra Pradesh,Guntur,Dachapalle,Dachepalli,NA,Gurajala,16.59647222222222,79.71908333333333
Andhra Pradesh,Karimnagar,Huzurabad,NA,Huzurabad,Huzurabad,18.203277777777775,79.39475
Andhra Pradesh,Khammam,Pinapaka,Angarigudem,NA,Pinapaka,17.255277777777778,80.43766666666667
Andhra Pradesh,Visakhapatnam,G.K. Veedhi,NA,Pedapadu forest,Rayadurg,16.637333333333334,81.03391666666667
Andhra Pradesh,Visakhapatnam,Peda Bayalu,Kinchuru,NA,Araku Valley,18.107361111111118,82.59052777777778
Andhra Pradesh,Visakhapatnam,NA,Paderu,NA,Paderu,18.07702777777778,82.66808333333334
Andhra Pradesh,Khammam,Dummugudem,Chintaguppa,NA,Bhadrachalam,18.000805555555555,80.92516666666667
Andhra Pradesh,Khammam,Bhadrachalam,forest area near Bandirevu village,NA,Bhadrachalam,17.72733333333333,81.10194444444444
Andhra Pradesh,Prakasam,Ongole,Ongole,NA,Ongole,15.505333333333333,80.04897222222222
Andhra Pradesh,Khammam,NA,Khammam,NA,Khammam,17.386972222222223,80.20161111111112
Andhra Pradesh,Khammam,Bhadrachalam,Kaliveru,NA,Bhadrachalam,18.030083333333334,80.84958333333333
Andhra Pradesh,East Godavari,Kakinada,Kakinada,NA,Kakinada Rural,16.991555555555557,82.25033333333333
Andhra Pradesh,East Godavari,Yetapka,Kamanathogu,Yetapaka,Bhadrachalam,17.69361111111111,80.90819444444445
Andhra Pradesh,Visakhapatnam,Chintapalli,Garimanda,Annavaram area,Paderu,17.73777777777778,82.18316666666666
Andhra Pradesh,Hyderabad,Goshamahal,Hyderabad,Shahinayathgunj,Goshamahal,17.37761111111111,78.47091666666667
Andhra Pradesh,Khammam,Pinapaka,NA,Karakagudem Police Station,Pinapaka,18.03830555555556,80.61436111111111
Andhra Pradesh,Visakhapatnam,Chintapalli,Lakkavaram,NA,Paderu,17.05922222222222,81.30583333333333
Andhra Pradesh,Khammam,NA,NA,Yellendu,Yellandu,17.59497222222222,80.31802777777777
Andhra Pradesh,Khammam,Bayyaram,Kambalapalli,NA,Yellandu,17.657027777777778,80.05213888888889
Andhra Pradesh,Khammam,Chinturu,Narsingapeta,NA,Rampachodavaram,18.41038888888889,84.04252777777778
Andhra Pradesh,Visakhapatnam,Chintapalle,Korukonda,NA,Paderu,17.170722222222224,81.82555555555555
Andhra Pradesh,Mahabubnagar,Amrabad,Farahabad,NA,Achampet,16.28377777777778,78.68350000000001
Andhra Pradesh,Warangal,Mulugu,NA,NA,Mulug,18.19361111111111,79.94191666666667
Andhra Pradesh,Warangal,Kothaguda,Konapur,"Potlapur, Alligudem, Pochapur, Chouledu, Damerathogu",Mulug,18.71858333333333,78.61844444444444
Andhra Pradesh,Warangal,Govindaraopet,Kambalapally,"Mahbubabad Area, Telangana",Mahbubabad,17.65747222222222,80.05205555555555
